ID_ESTADO,NOMBRE ESTADO,DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PT,PVEM,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1294,1,301,72,3,2,0,78,476,17,493,832
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1298,0,84,39,1,1,0,28,168,3,171,246
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1207,10,503,67,7,20,15,808,1486,50,1536,3254
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1208,17,443,70,9,8,14,861,1488,36,1527,3325
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1218,8,407,48,4,4,25,673,1208,34,1242,2378
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1227,8,466,35,5,6,10,761,1322,23,1346,2185
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1228,6,310,44,1,6,14,584,1003,23,1030,2057
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1229,4,390,42,6,6,14,573,1067,38,1106,1863
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1230,10,296,32,4,4,8,412,782,8,791,1209
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1239,8,254,27,2,4,9,340,661,14,675,1060
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1240,10,279,34,4,3,15,462,835,23,859,1415
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1241,7,270,24,2,2,10,423,754,17,771,1240
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1242,5,366,46,5,8,19,666,1144,19,1163,1903
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1243,14,426,36,9,5,12,860,1429,35,1465,2734
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1244,6,404,73,3,8,13,542,1089,30,1120,2126
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1245,6,382,39,8,6,13,731,1241,36,1277,2504
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1246,3,177,20,1,4,6,386,608,8,617,967
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1247,7,273,31,1,6,10,436,786,14,800,1365
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1248,5,265,34,7,5,7,490,840,17,857,1388
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1249,4,258,20,1,3,12,383,703,16,719,1115
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1250,6,247,27,1,4,16,441,759,22,781,1325
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1251,10,392,38,2,5,6,474,951,18,970,1555
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1254,7,424,32,5,5,16,494,1009,12,1023,1559
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1255,5,251,40,2,3,16,397,734,12,747,1183
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1256,6,247,30,1,3,10,372,687,20,707,1101
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1257,14,800,76,13,14,23,1474,2487,52,2544,4165
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1258,8,367,48,6,9,15,711,1181,24,1206,1844
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1261,4,434,52,4,9,13,407,950,17,967,1840
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1262,2,265,16,2,3,10,328,644,11,655,1030
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1263,12,677,59,5,8,17,870,1687,21,1708,2782
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1267,41,1965,302,25,27,98,3440,6116,100,6218,10631
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1268,4,375,35,4,2,16,413,865,12,878,1313
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1269,10,538,66,7,5,18,548,1228,16,1245,1705
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1270,8,568,48,5,7,27,882,1592,36,1632,2657
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1271,22,882,88,13,13,30,1297,2424,31,2460,4252
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1278,6,172,91,2,5,2,314,621,26,648,1100
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1279,13,573,59,2,8,15,981,1719,35,1755,3264
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1280,6,342,40,3,9,12,510,957,21,978,1772
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1281,13,624,75,14,9,29,928,1741,33,1774,3241
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1285,2,160,55,5,13,6,108,378,14,392,731
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1286,3,240,23,16,15,8,502,829,23,853,1653
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1287,7,159,50,24,18,14,361,661,16,677,1414
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1288,8,266,55,9,47,6,383,806,28,834,1687
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1289,21,439,63,6,12,8,544,1135,24,1160,2146
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1290,0,63,4,0,1,0,24,103,1,104,221
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1291,0,157,23,0,7,5,36,233,17,250,431
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1295,7,336,41,7,4,5,145,578,33,611,1446
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1296,11,243,90,2,5,5,274,647,12,659,1054
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1297,14,137,6,1,3,3,106,281,12,293,504
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1299,11,163,26,0,1,0,86,294,11,305,504
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1300,18,164,14,2,2,4,239,469,23,493,994
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1301,3,121,79,5,4,8,511,770,20,791,1707
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1302,5,236,21,4,5,3,565,881,18,899,1973
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1303,21,253,27,3,5,8,405,745,21,766,1883
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1304,14,215,13,7,6,5,425,715,22,738,1625
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1305,13,156,12,11,4,2,371,588,20,608,1415
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1306,2,78,52,0,0,2,95,242,5,247,413
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1307,14,322,29,3,7,2,672,1093,31,1124,1838
12,GUERRERO,2,29,CHILPANCINGO DE LOS BRAVO,1308,6,161,24,1,3,4,169,377,12,389,650
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,40,8,150,19,1,5,7,301,517,11,528,984
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,56,8,154,19,4,6,10,346,622,18,641,1357
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,57,6,184,11,3,2,20,328,586,14,601,1092
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,58,0,81,8,0,5,9,177,296,7,305,462
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,59,3,112,18,1,1,15,255,418,13,432,747
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,60,5,201,14,0,2,14,298,555,10,565,1000
