ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CABECERA_DISTRITAL_LOCAL,MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1463,2,18,105,137,10,9,2,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,0,346,0,27,373,1040
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1464,2,22,271,142,15,17,7,0,95,20,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,35,0,0,0,631,0,35,666,1060
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1465,2,6,242,157,22,9,8,0,27,4,0,2,0,1,0,0,0,0,0,0,0,0,5,1,1,2,33,0,0,0,520,0,26,546,968
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1466,1,2,47,37,3,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,110,0,3,113,169
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1467,1,10,55,27,5,5,4,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,6,0,0,0,132,0,3,135,277
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1468,1,3,91,24,23,1,3,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,182,0,9,191,475
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1469,2,20,111,237,47,16,4,0,21,4,0,0,1,16,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,492,2,20,514,860
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1470,1,1,71,11,4,0,6,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,127,0,0,127,226
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1471,1,4,39,18,11,3,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,116,0,4,120,270
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1472,1,2,76,55,68,4,1,0,6,81,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,305,0,3,308,531
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1473,2,4,231,23,81,3,4,0,18,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,412,0,19,431,761
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1474,1,11,174,104,22,5,5,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,13,0,0,0,358,0,18,376,644
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1475,1,2,60,49,4,7,4,0,6,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,150,0,18,168,285
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1476,1,0,32,12,1,3,1,0,7,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,0,21,129,183
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1477,2,13,226,87,13,55,70,0,27,42,0,3,0,116,0,0,0,0,0,0,0,0,5,2,0,0,18,0,0,0,677,0,78,755,1160
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1478,2,33,204,207,10,41,80,0,35,91,0,0,1,78,0,0,0,0,0,0,0,0,2,3,0,12,10,0,0,0,807,0,69,876,1448
12,GUERRERO,23,HUITZUCO DE LOS FIGUEROA,35,HUITZUCO DE LOS FIGUEROA,1479,2,3,187,69,21,85,46,0,23,1,0,0,1,45,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,487,0,30,517,1094
